node,year,theta
R12_AFR,2030,10.513845463219644
R12_AFR,2040,7.636712235988754
R12_AFR,2050,5.513426980903042
R12_AFR,2060,2.3490140742095846
R12_AFR,2070,0.9975121747744898
R12_AFR,2080,0.7152237672301851
R12_AFR,2090,0.6748793820914205
R12_AFR,2100,0.7380258767017991
R12_AFR,2025,20.069432242234623
R12_AFR,2035,9.378475474908369
R12_AFR,2045,6.86813253915332
R12_AFR,2055,3.948063784502652
R12_EEU,2030,8.447171977161098
R12_EEU,2040,6.49841877943871
R12_EEU,2050,5.903726456437412
R12_EEU,2060,5.556575561088793
R12_EEU,2070,5.596868577878664
R12_EEU,2080,5.902396312339367
R12_EEU,2090,6.43673802169652
R12_EEU,2100,7.0257813915582155
R12_EEU,2025,10.690091121431776
R12_EEU,2035,7.1270333947926
R12_EEU,2045,6.111247602758016
R12_EEU,2055,5.679393644843914
R12_FSU,2030,9.364707736665125
R12_FSU,2040,6.955035710465357
R12_FSU,2050,6.381306815805851
R12_FSU,2060,5.685405351371155
R12_FSU,2070,5.43959322985986
R12_FSU,2080,5.6494053518409935
R12_FSU,2090,6.238533420089666
R12_FSU,2100,7.058070437280464
R12_FSU,2025,13.84006774959115
R12_FSU,2035,7.7119313055119125
R12_FSU,2045,6.657084707669465
R12_FSU,2055,6.038398320551857
R12_LAM,2030,0.7931084742635147
R12_LAM,2040,0.5341783490006339
R12_LAM,2050,0.5987127832559467
R12_LAM,2060,0.6113530814558936
R12_LAM,2070,0.6314549759649962
R12_LAM,2080,0.6601567249928738
R12_LAM,2090,0.6999462066355321
R12_LAM,2100,0.7487230146913711
R12_LAM,2025,1.381095356418509
R12_LAM,2035,0.6236114192992349
R12_LAM,2045,0.5521688592580865
R12_LAM,2055,0.5971464753665723
R12_MEA,2030,1.9896250258038715
R12_MEA,2040,1.844772079579782
R12_MEA,2050,1.8267676160312867
R12_MEA,2060,1.8798241398154116
R12_MEA,2070,1.9030511820861777
R12_MEA,2080,1.8757423142635326
R12_MEA,2090,1.9000262803108532
R12_MEA,2100,2.009501459971951
R12_MEA,2025,2.261585625390647
R12_MEA,2035,1.8965063000504472
R12_MEA,2045,1.81779122748581
R12_MEA,2055,1.8467470194234323
R12_NAM,2030,3.9537669139252754
