node,year,theta
R12_NAM,2030,1.6912280624272753
R12_NAM,2040,2.3480707393088824
R12_NAM,2050,3.1859567680569745
R12_NAM,2060,3.643854650070945
R12_NAM,2070,3.9391090933252326
R12_NAM,2080,4.861199437961566
R12_NAM,2090,5.669803240626831
R12_NAM,2100,6.155556238487803
R12_NAM,2025,1.394225104391714
R12_NAM,2035,2.0008873509572265
R12_NAM,2045,2.735947733226486
R12_NAM,2055,3.4249699566855143
R12_PAO,2030,2.1764259104680157
R12_PAO,2040,2.4055914229607684
R12_PAO,2050,2.598395138941438
R12_PAO,2060,3.0172711420900162
R12_PAO,2070,3.400861286313276
R12_PAO,2080,3.8344417991070485
R12_PAO,2090,4.31121783961017
R12_PAO,2100,4.798018526594268
R12_PAO,2025,1.9511015838804917
R12_PAO,2035,2.2958410362762782
R12_PAO,2045,2.5158117693188626
R12_PAO,2055,2.806718825787296
R12_PAS,2030,5.860574458403466
R12_PAS,2040,7.574642928645789
R12_PAS,2050,9.582356484334271
R12_PAS,2060,11.022116426372245
R12_PAS,2070,12.465582741650032
R12_PAS,2080,13.77582715807709
R12_PAS,2090,14.709962763636254
R12_PAS,2100,15.868222451141758
R12_PAS,2025,5.091126046903292
R12_PAS,2035,6.5842154501525725
R12_PAS,2045,8.528579773224507
R12_PAS,2055,10.319158336355953
R12_SAS,2030,9.708125662740505
R12_SAS,2040,12.385015200799327
R12_SAS,2050,15.126653934213007
R12_SAS,2060,19.051312980093858
R12_SAS,2070,24.25791495187348
R12_SAS,2080,29.598809037066513
R12_SAS,2090,33.791746631767474
R12_SAS,2100,37.65543322333569
R12_SAS,2025,8.613090860906565
R12_SAS,2035,10.907423656455025
R12_SAS,2045,13.696470996420274
R12_SAS,2055,16.99950192338627
R12_WEU,2030,1.1401857819865613
R12_WEU,2040,1.344652435439163
R12_WEU,2050,1.5441092829143475
R12_WEU,2060,1.7103129733808795
R12_WEU,2070,1.925742620561694
R12_WEU,2080,2.1297467612385335
R12_WEU,2090,2.341946025692872
R12_WEU,2100,2.5610425287975747
R12_WEU,2025,1.0217866496663648
R12_WEU,2035,1.244826197191825
R12_WEU,2045,1.4498062016092297
R12_WEU,2055,1.6333791357242298
R12_CHN,2025,2.55583998678557
R12_CHN,2030,3.0221832466334675
R12_CHN,2035,3.243041160079892
R12_CHN,2040,3.5245998551712687
R12_CHN,2045,3.708576554065001
R12_CHN,2050,3.950970675399929
R12_CHN,2055,4.101274312036919
R12_CHN,2060,4.272629376542523
R12_CHN,2070,4.688135634464784
R12_CHN,2080,5.165294220547398
R12_CHN,2090,5.551553374037441
R12_CHN,2100,5.860013784395775
R12_RCPA,2025,10.00805927574344
R12_RCPA,2030,10.205462903264005
R12_RCPA,2035,10.01085629883747
R12_RCPA,2040,9.964375809547679
R12_RCPA,2045,9.6934647872195
R12_RCPA,2050,9.612385841650855
R12_RCPA,2055,9.737538443867649
R12_RCPA,2060,10.005729579390719
R12_RCPA,2070,10.554437789796685
R12_RCPA,2080,11.151899338799977
R12_RCPA,2090,11.564949249282446
R12_RCPA,2100,12.053238306981616
R12_AFR,2020,20.21484290735805
R12_EEU,2020,1.060623712039653
R12_LAM,2020,7.449677400866544
R12_MEA,2020,5.928062408762471
R12_NAM,2020,1.1339870761227735
R12_SAS,2020,7.776145302640722
R12_WEU,2020,0.9283981254027653
R12_FSU,2020,1.4866235684170388
R12_PAO,2020,1.7851092384562912
R12_PAS,2020,4.448395489366942
R12_CHN,2020,1.9955210871181246
R12_RCPA,2020,9.252264613593681
