BCU_name,rcp,year,cap_km3_year
0|EEU,2p6,2025,0.23236685061728599
0|EEU,2p6,2030,0.37611501213653087
0|EEU,2p6,2035,0.5750068940313406
0|EEU,2p6,2040,0.815891899158869
0|EEU,2p6,2045,0.9852861487668505
0|EEU,2p6,2050,1.160316449708025
0|EEU,2p6,2055,1.4858818437939423
0|EEU,2p6,2060,1.6066365434734413
0|EEU,2p6,2065,1.6613005743212956
0|EEU,2p6,2070,1.5664666989002294
0|EEU,2p6,2075,1.5050321738762198
0|EEU,2p6,2080,1.4193889135053352
0|EEU,2p6,2085,1.344546231772409
0|EEU,2p6,2090,1.261166247114843
0|EEU,2p6,2095,1.202053870825386
0|EEU,2p6,2100,1.141152862137844
0|EEU,7p0,2025,0.21161907098123692
0|EEU,7p0,2030,0.31239919771934077
0|EEU,7p0,2035,0.47556802682621646
0|EEU,7p0,2040,0.6053713954242013
0|EEU,7p0,2045,0.7364345236132582
0|EEU,7p0,2050,0.818621776529547
0|EEU,7p0,2055,0.8454824169401447
0|EEU,7p0,2060,0.8676698316805933
0|EEU,7p0,2065,0.896389458683026
0|EEU,7p0,2070,0.8955525501366303
0|EEU,7p0,2075,0.9024925773344564
0|EEU,7p0,2080,0.9469743713149839
0|EEU,7p0,2085,1.0108861667519138
0|EEU,7p0,2090,1.0310352052871088
0|EEU,7p0,2095,1.0380740956537386
0|EEU,7p0,2100,1.0501640702646031
0|EEU,no_climate,2025,0.22199296079926145
0|EEU,no_climate,2030,0.3442571049279358
0|EEU,no_climate,2035,0.5252874604287785
0|EEU,no_climate,2040,0.710631647291535
0|EEU,no_climate,2045,0.8608603361900544
0|EEU,no_climate,2050,0.989469113118786
0|EEU,no_climate,2055,1.1656821303670435
0|EEU,no_climate,2060,1.2371531875770172
0|EEU,no_climate,2065,1.2788450165021608
0|EEU,no_climate,2070,1.2310096245184299
0|EEU,no_climate,2075,1.2037623756053382
0|EEU,no_climate,2080,1.1831816424101596
0|EEU,no_climate,2085,1.1777161992621614
0|EEU,no_climate,2090,1.146100726200976
0|EEU,no_climate,2095,1.1200639832395622
0|EEU,no_climate,2100,1.0956584662012236
0|WEU,2p6,2025,0.08465278251477969
0|WEU,2p6,2030,0.09861597464450443
0|WEU,2p6,2035,0.11444404913504438
0|WEU,2p6,2040,0.13235174638406527
0|WEU,2p6,2045,0.14644675300565604
0|WEU,2p6,2050,0.16437046255173163
0|WEU,2p6,2055,0.18135469390824108
0|WEU,2p6,2060,0.18446753009484546
0|WEU,2p6,2065,0.1726928524110929
0|WEU,2p6,2070,0.16159161569076483
0|WEU,2p6,2075,0.15651949171893043
0|WEU,2p6,2080,0.1479209979286806
0|WEU,2p6,2085,0.14311096413796554
0|WEU,2p6,2090,0.13807195589740417
0|WEU,2p6,2095,0.13276664088769452
0|WEU,2p6,2100,0.12855815189526673
0|WEU,7p0,2025,0.08431643720222771
0|WEU,7p0,2030,0.09833193108294645
0|WEU,7p0,2035,0.10821871580949531
0|WEU,7p0,2040,0.12191953741635432
0|WEU,7p0,2045,0.1300440676205013
0|WEU,7p0,2050,0.13314683824806287
0|WEU,7p0,2055,0.13444062007855262
0|WEU,7p0,2060,0.13669397471681796
0|WEU,7p0,2065,0.13847845342378323
0|WEU,7p0,2070,0.1417139030879329
0|WEU,7p0,2075,0.14518132109098636
0|WEU,7p0,2080,0.14728270864544518
0|WEU,7p0,2085,0.14635138509182558
0|WEU,7p0,2090,0.1503005905559729
0|WEU,7p0,2095,0.15129518105207745
0|WEU,7p0,2100,0.1517316382973967
0|WEU,no_climate,2025,0.0844846098585037
0|WEU,no_climate,2030,0.09847395286372544
0|WEU,no_climate,2035,0.11133138247226984
0|WEU,no_climate,2040,0.1271356419002098
0|WEU,no_climate,2045,0.1382454103130787
0|WEU,no_climate,2050,0.14875865039989725
0|WEU,no_climate,2055,0.15789765699339686
0|WEU,no_climate,2060,0.1605807524058317
0|WEU,no_climate,2065,0.15558565291743806
0|WEU,no_climate,2070,0.15165275938934886
0|WEU,no_climate,2075,0.1508504064049584
0|WEU,no_climate,2080,0.14760185328706288
0|WEU,no_climate,2085,0.14473117461489554
0|WEU,no_climate,2090,0.14418627322668853
0|WEU,no_climate,2095,0.142030910969886
0|WEU,no_climate,2100,0.1401448950963317
100|LAM,2p6,2025,0.4331745352919408
100|LAM,2p6,2030,0.5608990078276408
100|LAM,2p6,2035,0.7218507298343156
100|LAM,2p6,2040,0.9059710394236216
100|LAM,2p6,2045,1.1735364869078948
100|LAM,2p6,2050,1.6237636703541805
100|LAM,2p6,2055,1.8908165181390464
100|LAM,2p6,2060,2.032438742314456
100|LAM,2p6,2065,2.2961283199113725
100|LAM,2p6,2070,2.5858434934435475
100|LAM,2p6,2075,2.935447788479782
100|LAM,2p6,2080,2.95387190691485
100|LAM,2p6,2085,2.7631354630220732
100|LAM,2p6,2090,2.509859913909476
100|LAM,2p6,2095,2.2984763299535915
100|LAM,2p6,2100,2.171898147993561
100|LAM,7p0,2025,0.43160774891500503
100|LAM,7p0,2030,0.5669953943468055
100|LAM,7p0,2035,0.7213036083902655
100|LAM,7p0,2040,0.8510744538834318
100|LAM,7p0,2045,0.9930387814678386
100|LAM,7p0,2050,1.1717766552285944
100|LAM,7p0,2055,1.564344546149811
100|LAM,7p0,2060,1.8817883053452207
100|LAM,7p0,2065,2.033579877946262
100|LAM,7p0,2070,2.125413505700077
100|LAM,7p0,2075,2.189522120552789
100|LAM,7p0,2080,2.247984527450548
100|LAM,7p0,2085,2.330702167289982
100|LAM,7p0,2090,2.3774184364299114
100|LAM,7p0,2095,2.474422198119369
100|LAM,7p0,2100,2.53626444102005
100|LAM,no_climate,2025,0.4323911421034729
100|LAM,no_climate,2030,0.5639472010872231
100|LAM,no_climate,2035,0.7215771691122905
100|LAM,no_climate,2040,0.8785227466535267
100|LAM,no_climate,2045,1.0832876341878668
100|LAM,no_climate,2050,1.3977701627913874
100|LAM,no_climate,2055,1.7275805321444286
100|LAM,no_climate,2060,1.9571135238298383
100|LAM,no_climate,2065,2.164854098928817
100|LAM,no_climate,2070,2.355628499571812
100|LAM,no_climate,2075,2.562484954516285
100|LAM,no_climate,2080,2.600928217182699
100|LAM,no_climate,2085,2.546918815156028
100|LAM,no_climate,2090,2.443639175169694
100|LAM,no_climate,2095,2.3864492640364805
100|LAM,no_climate,2100,2.3540812945068055
101|LAM,2p6,2025,0.02159970939434033
101|LAM,2p6,2030,0.02796853134611366
101|LAM,2p6,2035,0.03599418876274784
101|LAM,2p6,2040,0.04517511898073651
101|LAM,2p6,2045,0.05851693720588197
101|LAM,2p6,2050,0.08096695568935088
101|LAM,2p6,2055,0.09428321376808708
101|LAM,2p6,2060,0.10134502981853274
101|LAM,2p6,2065,0.11449358261278034
101|LAM,2p6,2070,0.128939869376171
101|LAM,2p6,2075,0.14637245268974594
101|LAM,2p6,2080,0.1472911484385073
101|LAM,2p6,2085,0.1377803129130135
101|LAM,2p6,2090,0.12515104269555466
101|LAM,2p6,2095,0.11461066321294244
101|LAM,2p6,2100,0.10829899961490116
101|LAM,7p0,2025,0.021521583540515577
101|LAM,7p0,2030,0.028272520076847295
101|LAM,7p0,2035,0.035966907232482144
101|LAM,7p0,2040,0.042437769026380356
101|LAM,7p0,2045,0.0495166436377873
101|LAM,7p0,2050,0.05842918538817593
101|LAM,7p0,2055,0.07800409496990528
101|LAM,7p0,2060,0.09383303316694562
101|LAM,7p0,2065,0.10140193112740105
101|LAM,7p0,2070,0.10598110074727168
101|LAM,7p0,2075,0.10917779708483229
101|LAM,7p0,2080,0.11209295228580507
101|LAM,7p0,2085,0.11621756450732762
101|LAM,7p0,2090,0.118547013159544
101|LAM,7p0,2095,0.12338398507719844
101|LAM,7p0,2100,0.1264676715964179
101|LAM,no_climate,2025,0.021560646467427953
101|LAM,no_climate,2030,0.02812052571148048
101|LAM,no_climate,2035,0.03598054799761499
101|LAM,no_climate,2040,0.04380644400355843
101|LAM,no_climate,2045,0.05401679042183463
101|LAM,no_climate,2050,0.0696980705387634
101|LAM,no_climate,2055,0.08614365436899618
101|LAM,no_climate,2060,0.09758903149273918
101|LAM,no_climate,2065,0.1079477568700907
101|LAM,no_climate,2070,0.11746048506172134
101|LAM,no_climate,2075,0.12777512488728912
101|LAM,no_climate,2080,0.1296920503621562
101|LAM,no_climate,2085,0.12699893871017054
101|LAM,no_climate,2090,0.12184902792754933
101|LAM,no_climate,2095,0.11899732414507044
101|LAM,no_climate,2100,0.11738333560565953
103|NAM,2p6,2025,0.006996125726440734
103|NAM,2p6,2030,0.010878180604917197
103|NAM,2p6,2035,0.011899589444334438
103|NAM,2p6,2040,0.011625056398356837
103|NAM,2p6,2045,0.011191293491440954
103|NAM,2p6,2050,0.011240624982692616
103|NAM,2p6,2055,0.0108772608800021
103|NAM,2p6,2060,0.010735446475731915
103|NAM,2p6,2065,0.010371691558156761
103|NAM,2p6,2070,0.010315774989855838
103|NAM,2p6,2075,0.010189872381760253
103|NAM,2p6,2080,0.010066107274930123
103|NAM,2p6,2085,0.009880484829576394
103|NAM,2p6,2090,0.009668691140628696
103|NAM,2p6,2095,0.009454091795965415
103|NAM,2p6,2100,0.009123596671053315
103|NAM,7p0,2025,0.006937778054281413
103|NAM,7p0,2030,0.010713777013366553
103|NAM,7p0,2035,0.011913160441292307
103|NAM,7p0,2040,0.012586054865301935
103|NAM,7p0,2045,0.013001158838040322
103|NAM,7p0,2050,0.013674838616825231
103|NAM,7p0,2055,0.014272239712109915
103|NAM,7p0,2060,0.014694579899183489
103|NAM,7p0,2065,0.015106591567744706
103|NAM,7p0,2070,0.015550023876026253
103|NAM,7p0,2075,0.01597331978611152
103|NAM,7p0,2080,0.01632281634497586
103|NAM,7p0,2085,0.016683513164539334
103|NAM,7p0,2090,0.01759421955758704
103|NAM,7p0,2095,0.018045403017851906
103|NAM,7p0,2100,0.01814703647289208
103|NAM,no_climate,2025,0.006966951890361074
103|NAM,no_climate,2030,0.010795978809141876
103|NAM,no_climate,2035,0.011906374942813373
103|NAM,no_climate,2040,0.012105555631829386
103|NAM,no_climate,2045,0.012096226164740638
103|NAM,no_climate,2050,0.012457731799758924
103|NAM,no_climate,2055,0.012574750296056009
103|NAM,no_climate,2060,0.012715013187457703
103|NAM,no_climate,2065,0.012739141562950734
103|NAM,no_climate,2070,0.012932899432941045
103|NAM,no_climate,2075,0.013081596083935887
103|NAM,no_climate,2080,0.013194461809952991
103|NAM,no_climate,2085,0.013281998997057863
103|NAM,no_climate,2090,0.013631455349107868
103|NAM,no_climate,2095,0.01374974740690866
103|NAM,no_climate,2100,0.013635316571972698
104|NAM,2p6,2025,0.2966785128514087
104|NAM,2p6,2030,0.4613013788758434
104|NAM,2p6,2035,0.5046153596904444
104|NAM,2p6,2040,0.4929734797423207
104|NAM,2p6,2045,0.4745792799829379
104|NAM,2p6,2050,0.4766712368793059
104|NAM,2p6,2055,0.4612623769152279
104|NAM,2p6,2060,0.45524857896405935
104|NAM,2p6,2065,0.43982314605899825
104|NAM,2p6,2070,0.4374519416272974
104|NAM,2p6,2075,0.432112901136252
104|NAM,2p6,2080,0.4268645037699086
104|NAM,2p6,2085,0.4189929769859834
104|NAM,2p6,2090,0.4100116294337456
104|NAM,2p6,2095,0.4009113049222849
104|NAM,2p6,2100,0.3868962906132945
104|NAM,7p0,2025,0.2942042147496541
104|NAM,7p0,2030,0.45432966124870894
104|NAM,7p0,2035,0.5051908529495428
104|NAM,7p0,2040,0.5337256913482724
104|NAM,7p0,2045,0.5513286381971693
104|NAM,7p0,2050,0.5798967804408987
104|NAM,7p0,2055,0.6052302400519841
104|NAM,7p0,2060,0.6231400466389106
104|NAM,7p0,2065,0.6406118608809277
104|NAM,7p0,2070,0.6594161023876288
